visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
102978,73.48,6,3,6,3,Cat3,Type1,www.site2.com
102979,274.0,5,1,2,1,Cat21,none,www.site1.com
102980,221.65,6,4,5,1,Cat12,none,www.site1.com
102981,71.69,8,7,8,1,Cat18,none,www.site1.com
102982,102.74,6,6,8,2,Cat1,none,www.site1.com
102983,49.99,1,1,2,1,Cat19,Type1,www.site4.com
102984,144.03,14,13,14,1,none,none,www.site1.com
102985,99.93,2,2,4,2,Cat11,none,www.site1.com
102986,88.52,4,3,4,1,Cat63,none,www.site1.com
102987,50.89,5,5,6,1,Cat42,none,www.site1.com
102988,86.78,4,4,6,2,Cat21,none,www.site1.com
102989,42.88,2,2,3,1,none,none,www.site1.com
102990,63.12,10,8,10,2,none,none,www.site1.com
102991,64.85,3,3,4,1,Cat18,none,www.site1.com
102992,89.52,4,2,4,2,Cat60,none,www.site1.com
102993,130.39,30,30,32,2,Cat4,Type1,www.site2.com
102994,6.89,1,1,2,1,Cat3,Type1,www.site2.com
102995,44.99,1,1,2,1,Cat2,none,www.site1.com
102996,31.88,2,1,2,1,Cat12,none,www.site1.com
102997,49.9,2,2,6,4,Cat22,Type1,www.site3.com
102998,27.99,2,2,3,1,Cat60,none,www.site1.com
102999,124.23,7,7,8,1,Cat37,none,www.site1.com
103000,32.42,5,5,6,1,Cat12,none,www.site1.com
103001,574.0,2,2,4,2,Cat4,Type2,www.site2.com
103002,192.0,3,3,6,3,Cat26,Type2,www.site5.com
103003,50.0,1,1,2,1,Cat6,none,www.site1.com
103004,216.59,13,6,8,2,Cat3,Type1,www.site2.com
103005,50.46,6,6,10,4,Cat47,none,www.site1.com
103006,48.88,1,1,2,1,Cat17,none,www.site1.com
103007,49.52,1,1,2,1,Cat17,none,www.site1.com
103008,307.52,8,2,3,1,Cat6,none,www.site1.com
103009,2.49,1,1,2,1,Cat14,none,www.site1.com
103010,50.04,3,3,4,1,Cat4,Type1,www.site3.com
103011,79.68,5,5,7,2,Cat8,none,www.site1.com
103012,11.24,1,1,2,1,Cat12,none,www.site1.com
103013,30.0,4,2,3,1,Cat43,none,www.site1.com
103014,68.96,3,2,3,1,Cat40,none,www.site1.com
103015,52.77,3,3,6,3,Cat22,Type1,www.site2.com
103016,312.26,28,24,32,8,Cat10,none,www.site1.com
103017,126.96,6,6,7,1,Cat64,none,www.site1.com
103018,781.28,18,8,10,2,Cat23,none,www.site1.com
103019,100.8,10,10,14,4,Cat45,Type13,www.site5.com
103020,60.56,7,7,9,2,Cat25,none,www.site1.com
103021,10.96,1,1,2,1,Cat4,Type2,www.site2.com
103022,25.42,3,3,4,1,Cat3,Type1,www.site2.com
103023,139.32,6,4,6,2,Cat20,none,www.site1.com
103024,181.94,5,5,6,1,Cat3,Type1,www.site2.com
103025,100.0,1,1,4,3,Cat17,none,www.site1.com
103026,49.52,1,1,2,1,Cat17,none,www.site1.com
103027,64.0,1,1,2,1,Cat4,Type1,www.site3.com
103028,81.01,9,6,7,1,Cat8,none,www.site1.com
103029,150.25,8,7,9,2,Cat11,none,www.site1.com
103030,226.65,15,12,15,3,Cat45,Type1,www.site5.com
103031,69.88,2,2,3,1,Cat4,Type1,www.site3.com
103032,427.78,16,12,13,1,Cat32,none,www.site1.com
103033,505.39,3,3,4,1,Cat49,none,www.site1.com
103034,24.96,1,1,2,1,Cat48,Type1,www.site6.com
103035,42.4,2,1,2,1,Cat3,Type1,www.site2.com
103036,60.93,5,4,5,1,Cat18,none,www.site1.com
103037,154.05,1,1,2,1,Cat3,Type1,www.site2.com
103038,55.96,2,1,2,1,Cat3,Type1,www.site2.com
103039,184.32,8,1,4,3,Cat6,none,www.site1.com
103040,150.13,1,1,2,1,Cat17,none,www.site1.com
103041,19.84,1,1,2,1,none,none,www.site1.com
103042,53.68,8,8,10,2,Cat4,Type15,www.site2.com
103043,149.16,8,3,5,2,Cat4,Type1,www.site2.com
103044,569.0,1,1,2,1,none,none,www.site1.com
103045,99.96,1,1,2,1,Cat20,none,www.site1.com
103046,71.01,12,10,12,2,Cat9,none,www.site1.com
103047,59.97,1,1,2,1,Cat17,none,www.site1.com
103048,438.87,29,11,13,2,Cat12,none,www.site1.com
103049,140.0,4,4,8,4,Cat15,none,www.site1.com
103050,19.0,1,1,2,1,Cat3,Type1,www.site2.com
103051,87.52,15,10,11,1,Cat13,Type1,www.site3.com
103052,136.95,6,6,12,6,Cat3,Type1,www.site2.com
103053,3.96,1,1,2,1,Cat21,none,www.site1.com
103054,84.09,6,5,9,4,Cat4,Type2,www.site2.com
103055,39.97,1,1,2,1,Cat12,none,www.site1.com
103056,96.83,7,6,8,2,Cat52,none,www.site1.com
103057,5.69,1,1,2,1,Cat3,Type1,www.site2.com
103058,14.99,1,1,2,1,Cat3,Type1,www.site2.com
103059,4.94,2,2,4,2,Cat23,none,www.site1.com
103060,98.47,7,7,9,2,Cat3,Type1,www.site2.com
103061,97.6,10,8,9,1,Cat6,none,www.site1.com
103062,30.0,1,1,2,1,Cat26,Type2,www.site5.com
103063,48.88,1,1,2,1,Cat17,none,www.site1.com
103064,23.68,2,2,3,1,Cat75,none,www.site1.com
103065,26.82,3,3,4,1,Cat18,none,www.site1.com
103066,377.0,1,1,2,1,Cat8,none,www.site1.com
103067,11.99,1,1,2,1,Cat3,Type1,www.site2.com
103068,15.86,2,2,3,1,none,none,www.site1.com
103069,180.49,1,1,2,1,Cat42,none,www.site1.com
103070,1448.5,5,1,2,1,Cat12,none,www.site1.com
103071,3.73,1,1,2,1,Cat14,none,www.site1.com
103072,55.98,3,3,4,1,Cat4,Type1,www.site3.com
103073,200.0,1,1,2,1,Cat6,none,www.site1.com
103074,732.96,17,12,14,2,Cat3,Type1,www.site2.com
103075,79.59,8,5,7,2,Cat3,Type1,www.site2.com
103076,188.44,16,10,12,2,Cat45,Type2,www.site5.com
103077,192.04,6,2,3,1,Cat20,none,www.site1.com
103078,122.5,7,1,2,1,Cat13,Type1,www.site3.com
103079,29.97,1,1,2,1,Cat14,none,www.site1.com
103080,44.0,2,2,3,1,Cat1,none,www.site1.com
103081,51.68,6,6,7,1,none,none,www.site1.com
103082,29.99,1,1,2,1,Cat62,none,www.site1.com
103083,137.87,1,1,3,2,Cat17,none,www.site1.com
103084,91.56,3,2,3,1,Cat36,Type1,www.site5.com
103085,107.83,1,1,2,1,Cat17,none,www.site1.com
103086,155.96,4,2,3,1,Cat49,none,www.site1.com
103087,33.39,6,6,7,1,Cat12,none,www.site1.com
